DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM,PLAYER
2019-10-23,21-092,PHO,HOME,SAC,W (+29),1,33:24,.643,.643,9.8,24.5,17.4,0.0,1.3,9.9,0.0,16.8,133,83,19.3,4.8,Deandre Ayton
2019-12-17,21-147,PHO,AWAY,LAC,L (-21),1,24:13,.463,.474,25.7,24.8,25.3,25.7,0.0,3.5,9.3,33.9,100,115,14.3,2.2,Deandre Ayton
2019-12-30,21-160,PHO,AWAY,POR,W (+6),0,20:07,.333,.333,22.7,43.4,33.3,0.0,0.0,0.0,18.2,23.7,79,115,2.9,-16.9,Deandre Ayton
2020-01-01,21-162,PHO,AWAY,LAL,L (-10),0,31:32,.576,.538,14.2,31.1,23.2,9.7,1.5,2.5,12.6,22.0,113,110,14.6,0.2,Deandre Ayton
2020-01-03,21-164,PHO,HOME,NYK,W (+8),1,37:26,.550,.455,2.7,29.6,16.7,18.0,0.0,2.3,6.8,16.4,120,105,15.2,1.9,Deandre Ayton
2020-01-05,21-166,PHO,HOME,MEM,L (-7),1,31:42,.500,.500,8.9,36.8,20.6,18.7,1.5,7.4,12.5,20.8,103,112,13.0,0.6,Deandre Ayton
2020-01-07,21-168,PHO,HOME,SAC,L (-11),1,37:26,.727,.714,13.2,14.9,14.1,10.6,0.0,2.7,12.2,20.3,133,116,18.0,2.4,Deandre Ayton
2020-01-10,21-171,PHO,HOME,ORL,W (+4),0,30:14,.395,.375,7.2,22.7,15.4,6.8,0.0,8.5,5.7,26.5,85,98,8.7,-5.0,Deandre Ayton
2020-01-12,21-173,PHO,HOME,CHO,W (+8),0,26:09,.567,.600,22.4,15.6,18.8,0.0,3.8,3.6,5.9,28.7,116,90,15.5,4.0,Deandre Ayton
2020-01-14,21-175,PHO,AWAY,ATL,L (-13),0,32:48,.714,.714,6.7,27.9,17.0,5.8,0.0,4.7,22.2,23.5,109,121,15.3,-1.7,Deandre Ayton
2020-01-16,21-177,PHO,AWAY,NYK,W (+23),1,34:48,.776,.733,18.8,42.2,31.1,8.7,0.0,4.3,10.7,21.8,150,89,28.6,9.9,Deandre Ayton
2020-01-18,21-179,PHO,AWAY,BOS,W (+4),1,35:49,.484,.364,11.9,32.0,22.1,8.6,0.0,5.0,6.9,33.0,107,109,20.3,-2.7,Deandre Ayton
2020-01-20,21-181,PHO,HOME,SAS,L (-2),1,38:35,.713,.643,7.5,30.3,20.2,8.1,1.3,2.2,5.4,21.5,145,120,22.9,4.2,Deandre Ayton
2020-01-22,21-183,PHO,HOME,IND,L (-25),1,30:30,.417,.417,10.0,20.2,14.6,14.2,1.6,0.0,7.7,18.9,92,116,7.0,-2.9,Deandre Ayton
2020-01-24,21-185,PHO,AWAY,SAS,W (+4),1,36:01,.455,.455,9.3,25.4,17.2,12.4,1.4,0.0,15.4,16.3,96,103,8.3,-2.7,Deandre Ayton
2020-01-26,21-187,PHO,AWAY,MEM,L (-5),1,39:33,.401,.368,17.0,25.6,20.7,9.2,3.3,3.7,4.5,21.7,98,100,16.6,-1.0,Deandre Ayton
2020-01-28,21-189,PHO,AWAY,DAL,W (+29),1,29:10,.901,.867,10.0,29.5,20.6,5.6,3.4,3.3,5.5,28.2,172,100,30.0,13.8,Deandre Ayton
2020-01-31,21-192,PHO,HOME,OKC,L (-4),1,39:37,.533,.533,6.5,11.0,9.0,4.6,0.0,5.5,11.8,19.1,104,118,12.1,-1.4,Deandre Ayton
2020-02-02,21-194,PHO,AWAY,MIL,L (-21),1,29:45,.370,.370,21.9,19.4,20.7,13.0,1.5,2.7,6.9,37.7,87,118,12.0,-4.7,Deandre Ayton
2020-02-03,21-195,PHO,AWAY,BRK,L (-22),1,34:17,.546,.545,23.3,32.3,27.4,31.5,0.0,5.1,11.6,31.8,114,117,22.6,5.8,Deandre Ayton
2020-02-05,21-197,PHO,AWAY,DET,L (-8),1,41:01,.658,.667,10.0,23.9,17.8,16.7,0.0,7.0,9.2,25.8,128,123,24.6,4.4,Deandre Ayton
2020-02-07,21-199,PHO,HOME,HOU,W (+36),1,23:38,.676,.625,6.6,20.7,15.2,24.7,0.0,11.0,25.3,21.6,119,92,10.6,2.5,Deandre Ayton
2020-02-08,21-200,PHO,HOME,DEN,L (-9),1,42:26,.640,.619,18.4,35.7,26.5,9.7,3.5,2.1,18.6,27.6,113,113,25.1,2.4,Deandre Ayton
2020-02-21,21-213,PHO,AWAY,TOR,L (-17),1,35:50,.555,.571,13.1,21.6,16.3,0.0,1.3,3.1,11.5,19.5,102,115,12.7,-3.0,Deandre Ayton
2020-02-22,21-214,PHO,AWAY,CHI,W (+8),1,35:22,.631,.600,30.8,29.8,30.3,6.3,0.0,9.0,24.0,33.4,107,100,22.7,0.3,Deandre Ayton
2020-02-24,21-216,PHO,AWAY,UTA,W (+20),1,21:20,.889,.889,12.5,21.1,16.5,14.5,0.0,0.0,10.0,20.4,161,118,14.0,6.9,Deandre Ayton
2020-02-26,21-218,PHO,HOME,LAC,L (-10),1,36:15,.526,.500,18.9,29.4,23.9,0.0,0.0,8.6,14.4,33.1,97,104,18.4,0.0,Deandre Ayton
2020-02-28,21-220,PHO,HOME,DET,L (-2),1,35:25,.804,.833,15.6,22.1,19.6,12.9,1.4,4.7,19.4,20.8,131,117,20.1,3.7,Deandre Ayton
2020-02-29,21-221,PHO,HOME,GSW,L (-16),1,33:01,.549,.500,3.3,25.8,14.7,0.0,2.9,5.1,21.6,30.1,83,106,11.1,-4.5,Deandre Ayton
2020-03-03,21-224,PHO,HOME,TOR,L (-9),1,38:42,.412,.357,11.3,32.6,21.2,3.8,1.2,7.2,24.1,22.6,75,111,7.8,-8.9,Deandre Ayton
2020-07-31,22-008,PHO,AWAY,WAS,W (+13),1,34:52,.857,.857,12.9,30.2,22.6,15.4,0.0,4.0,6.7,18.6,159,104,25.1,10.2,Deandre Ayton
2020-08-02,22-010,PHO,HOME,DAL,W (+2),1,21:00,.394,.375,15.2,21.6,18.7,0.0,0.0,0.0,0.0,17.8,99,111,3.8,-8.7,Deandre Ayton
2020-08-04,22-012,PHO,AWAY,LAC,W (+2),1,37:34,.515,.528,7.5,12.5,9.7,15.3,0.0,0.0,5.1,22.5,114,121,13.5,-0.7,Deandre Ayton
2020-08-06,22-014,PHO,HOME,IND,W (+15),1,34:53,.624,.611,9.2,20.9,15.1,4.9,2.7,9.8,17.8,26.7,105,86,20.1,5.9,Deandre Ayton
2020-08-08,22-016,PHO,AWAY,MIA,W (+7),1,36:28,.523,.467,8.6,27.5,17.7,7.6,0.0,0.0,10.4,22.6,109,115,12.1,-5.7,Deandre Ayton
2020-08-10,22-018,PHO,HOME,OKC,W (+27),0,17:05,.500,.500,19.2,17.2,18.1,0.0,0.0,0.0,9.1,25.6,104,101,5.8,-11.1,Deandre Ayton
2020-08-11,22-019,PHO,AWAY,PHI,W (+13),1,32:12,.400,.400,13.2,30.5,22.9,6.9,0.0,0.0,0.0,14.2,118,125,8.4,-6.3,Deandre Ayton
2020-08-13,22-021,PHO,HOME,DAL,W (+26),1,26:11,.506,.500,14.1,22.4,18.7,13.8,3.9,2.9,0.0,19.3,127,98,14.3,4.1,Deandre Ayton
