DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2022-04-10,27-318,NOP,HOME,GSW,L (-21),1,19:36,3,11,.273,0,0,,2,2,1.000,3,6,9,2,1,0,1,3,8,5.6,-11,Willy Hernangomez
2019-10-25,25-151,CHO,HOME,MIN,L (-22),0,19:41,3,6,.500,0,0,,0,0,,4,2,6,0,1,1,1,1,6,6.7,-7,Willy Hernangomez
2019-10-27,25-153,CHO,AWAY,LAL,L (-19),0,2:20,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-2,Willy Hernangomez
2019-11-07,25-164,CHO,HOME,BOS,L (-21),0,6:10,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,1,1,0,5,2.7,0,Willy Hernangomez
2019-11-18,25-175,CHO,AWAY,TOR,L (-36),0,10:01,1,2,.500,0,1,.000,3,6,.500,1,2,3,1,0,1,1,0,5,4.5,-13,Willy Hernangomez
2019-11-25,25-182,CHO,AWAY,MIA,L (-17),0,3:33,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,2.3,+6,Willy Hernangomez
2019-11-27,25-184,CHO,HOME,DET,W (+1),0,6:18,0,3,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-1.9,-7,Willy Hernangomez
2019-11-30,25-187,CHO,AWAY,MIL,L (-41),0,8:53,2,3,.667,0,1,.000,1,2,.500,4,5,9,0,0,0,2,2,5,4.8,-6,Willy Hernangomez
2019-12-08,25-195,CHO,HOME,ATL,L (-15),0,3:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+6,Willy Hernangomez
2019-12-15,25-202,CHO,AWAY,IND,L (-22),0,3:47,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.0,0,Willy Hernangomez
2019-12-22,25-209,CHO,AWAY,BOS,L (-26),0,3:25,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-6,Willy Hernangomez
2019-12-29,25-216,CHO,AWAY,MEM,L (-13),0,2:19,1,1,1.000,0,0,,2,4,.500,1,0,1,0,0,0,0,1,4,3.2,+6,Willy Hernangomez
2019-12-31,25-218,CHO,HOME,BOS,L (-17),0,2:05,1,4,.250,0,1,.000,0,1,.000,1,1,2,1,0,0,0,0,2,0.9,+3,Willy Hernangomez
2020-01-10,25-228,CHO,AWAY,UTA,L (-17),0,10:11,6,6,1.000,1,1,1.000,2,2,1.000,0,6,6,1,0,0,1,0,15,14.7,+12,Willy Hernangomez
2020-01-13,25-231,CHO,AWAY,POR,L (-3),0,16:29,7,8,.875,0,0,,0,2,.000,2,2,4,0,0,1,2,3,14,9.9,0,Willy Hernangomez
2020-01-15,25-233,CHO,AWAY,DEN,L (-14),0,11:08,1,2,.500,0,1,.000,3,6,.500,3,3,6,0,0,0,1,0,5,4.8,+2,Willy Hernangomez
2020-01-20,25-238,CHO,HOME,ORL,L (-23),0,9:15,3,3,1.000,1,1,1.000,1,2,.500,0,2,2,0,0,0,1,0,8,6.3,-2,Willy Hernangomez
2020-01-24,25-242,CHO,HOME,MIL,L (-13),0,7:47,0,1,.000,0,0,,3,4,.750,1,0,1,1,0,0,1,3,3,1.1,-9,Willy Hernangomez
2020-01-28,25-246,CHO,HOME,NYK,W (+5),0,18:38,4,9,.444,1,3,.333,3,5,.600,3,7,10,1,2,0,2,2,12,10.6,+1,Willy Hernangomez
2020-01-30,25-248,CHO,AWAY,WAS,L (-14),0,19:40,6,8,.750,0,0,,0,0,,1,3,4,1,1,1,0,4,12,11.2,-8,Willy Hernangomez
2020-02-01,25-250,CHO,AWAY,SAS,L (-24),0,18:02,3,7,.429,0,2,.000,4,4,1.000,1,1,2,2,1,0,1,4,10,7.1,-14,Willy Hernangomez
2020-02-03,25-252,CHO,HOME,ORL,L (-12),0,21:23,4,10,.400,0,1,.000,0,2,.000,1,5,6,2,0,0,4,1,8,1.0,+1,Willy Hernangomez
2020-02-04,25-253,CHO,AWAY,HOU,L (-15),0,17:21,3,7,.429,0,1,.000,4,4,1.000,4,4,8,2,0,0,3,3,10,7.5,-3,Willy Hernangomez
2020-02-10,25-259,CHO,AWAY,DET,W (+11),0,13:50,0,4,.000,0,1,.000,0,0,,1,3,4,1,0,0,0,2,0,-1.3,+4,Willy Hernangomez
2020-02-12,25-261,CHO,AWAY,MIN,W (+7),0,19:02,4,6,.667,0,1,.000,0,2,.000,2,5,7,1,1,0,0,1,8,8.8,+11,Willy Hernangomez
2020-02-25,25-274,CHO,AWAY,IND,L (-39),0,9:19,2,3,.667,0,0,,2,2,1.000,1,2,3,1,0,0,1,0,6,5.7,0,Willy Hernangomez
2020-02-26,25-275,CHO,HOME,NYK,W (+6),0,19:01,3,3,1.000,0,0,,1,1,1.000,2,1,3,4,1,0,0,0,7,11.6,-1,Willy Hernangomez
2020-02-28,25-277,CHO,AWAY,TOR,W (+3),0,13:53,2,6,.333,0,0,,1,2,.500,1,6,7,0,1,1,2,2,5,2.6,+6,Willy Hernangomez
2020-03-01,25-279,CHO,HOME,MIL,L (-8),0,20:21,4,9,.444,0,1,.000,2,2,1.000,2,10,12,4,2,0,1,0,10,13.5,+11,Willy Hernangomez
2020-03-03,25-281,CHO,HOME,SAS,L (-1),0,17:36,2,4,.500,0,0,,4,4,1.000,1,5,6,3,0,1,3,1,8,7.6,-4,Willy Hernangomez
2020-03-05,25-283,CHO,HOME,DEN,L (-2),0,22:56,7,11,.636,0,1,.000,0,0,,2,4,6,0,0,0,0,1,14,11.3,+1,Willy Hernangomez
2020-03-07,25-285,CHO,HOME,HOU,W (+9),0,17:50,1,2,.500,0,0,,1,2,.500,4,7,11,1,0,0,1,0,3,6.2,-6,Willy Hernangomez
