DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYER
2021-02-24,24-090,MIN,AWAY,CHI,L (-7),1,37:04,9,20,.450,5,13,.385,2,2,1.000,0,2,2,1,0,0,2,3,25,12.7,+5,Malik Beasley
2021-03-27,24-121,MIN,HOME,HOU,L (-22),1,29:42,4,17,.235,3,12,.250,2,2,1.000,1,3,4,3,2,0,1,1,13,7.0,-16,Malik Beasley
2021-03-29,24-123,MIN,AWAY,BRK,L (-5),1,31:08,3,12,.250,3,10,.300,0,0,,0,1,1,4,0,0,4,5,9,-1.1,-8,Malik Beasley
2021-03-31,24-125,MIN,HOME,NYK,W (+1),1,32:01,5,9,.556,5,8,.625,5,6,.833,0,1,1,0,1,1,1,1,20,15.9,-12,Malik Beasley
2021-04-02,24-127,MIN,AWAY,MEM,L (-12),1,28:35,2,12,.167,1,5,.200,0,0,,0,3,3,0,0,0,0,1,5,-2.1,-18,Malik Beasley
2019-10-23,22-331,DEN,AWAY,POR,W (+8),0,13:23,2,6,.333,2,4,.500,0,0,,0,1,1,1,1,0,2,2,6,1.8,+5,Malik Beasley
2019-10-25,22-333,DEN,HOME,PHO,W (+1),0,28:43,7,11,.636,2,4,.500,1,1,1.000,2,2,4,1,1,0,1,2,17,14.0,-8,Malik Beasley
2019-10-28,22-336,DEN,AWAY,SAC,W (+7),0,19:36,2,6,.333,2,5,.400,2,2,1.000,0,1,1,0,3,1,0,0,8,8.6,+6,Malik Beasley
2019-10-29,22-337,DEN,HOME,DAL,L (-3),0,14:21,3,8,.375,1,3,.333,0,0,,0,1,1,2,0,0,1,5,7,1.3,-16,Malik Beasley
2019-10-31,22-339,DEN,AWAY,NOP,L (-15),0,27:34,4,13,.308,3,6,.500,0,0,,0,2,2,1,1,0,2,2,11,3.0,-8,Malik Beasley
2019-11-02,22-341,DEN,AWAY,ORL,W (+4),0,13:27,1,8,.125,1,4,.250,0,0,,0,0,0,0,0,0,2,0,3,-4.2,-1,Malik Beasley
2019-11-05,22-344,DEN,HOME,MIA,W (+20),0,17:24,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,1,1,3,0.9,+7,Malik Beasley
2019-11-08,22-347,DEN,HOME,PHI,W (+3),0,7:02,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,0,2,1.0,-13,Malik Beasley
2019-11-10,22-349,DEN,AWAY,MIN,W (+2),0,4:32,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,0,0,0.0,-7,Malik Beasley
2019-11-17,22-356,DEN,AWAY,MEM,W (+17),0,7:11,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,1,0,0,2,1.0,-10,Malik Beasley
2019-11-24,22-363,DEN,HOME,PHO,W (+12),0,10:31,2,4,.500,2,2,1.000,0,0,,1,1,2,2,0,0,2,2,6,3.6,+6,Malik Beasley
2019-11-26,23-000,DEN,HOME,WAS,W (+13),0,18:52,3,5,.600,1,3,.333,2,2,1.000,0,4,4,2,1,0,2,2,9,7.5,-2,Malik Beasley
2019-11-30,23-004,DEN,AWAY,SAC,L (-3),0,20:19,4,8,.500,3,3,1.000,0,0,,0,0,0,3,1,0,0,1,11,9.7,+2,Malik Beasley
2019-12-03,23-007,DEN,HOME,LAL,L (-9),0,13:20,3,11,.273,0,3,.000,0,0,,0,0,0,0,0,0,0,0,6,-0.5,-3,Malik Beasley
2019-12-05,23-009,DEN,AWAY,NYK,W (+37),0,23:38,5,9,.556,3,6,.500,1,2,.500,0,2,2,1,0,0,1,0,14,9.6,+33,Malik Beasley
2019-12-06,23-010,DEN,AWAY,BOS,L (-13),0,15:10,1,7,.143,0,3,.000,0,0,,0,0,0,0,0,0,0,1,2,-2.9,-7,Malik Beasley
2019-12-08,23-012,DEN,AWAY,BRK,L (-3),0,15:55,1,3,.333,0,1,.000,0,0,,1,3,4,2,0,0,0,1,2,2.9,+13,Malik Beasley
2019-12-10,23-014,DEN,AWAY,PHI,L (-5),0,11:42,2,5,.400,1,3,.333,0,0,,0,1,1,0,0,0,1,0,5,1.6,-12,Malik Beasley
2019-12-18,23-022,DEN,HOME,ORL,W (+9),0,10:32,1,2,.500,1,2,.500,0,0,,1,1,2,0,0,0,0,1,3,2.6,+13,Malik Beasley
2019-12-20,23-024,DEN,HOME,MIN,W (+9),0,14:11,2,5,.400,2,4,.500,0,0,,0,1,1,0,0,1,0,1,6,3.9,+12,Malik Beasley
2019-12-22,23-026,DEN,AWAY,LAL,W (+24),0,21:35,6,11,.545,3,7,.429,1,2,.500,0,2,2,2,1,0,0,1,16,12.9,+16,Malik Beasley
2019-12-23,23-027,DEN,AWAY,PHO,W (+2),0,20:27,3,7,.429,1,2,.500,0,0,,0,1,1,1,1,0,3,4,7,0.7,-24,Malik Beasley
2019-12-25,23-029,DEN,HOME,NOP,L (-12),0,21:53,5,14,.357,3,10,.300,0,0,,0,4,4,2,0,1,0,1,13,8.1,+1,Malik Beasley
2019-12-28,23-032,DEN,HOME,MEM,W (+9),0,2:20,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,+1,Malik Beasley
2019-12-29,23-033,DEN,HOME,SAC,W (+5),0,23:46,5,12,.417,1,5,.200,0,0,,0,1,1,1,1,0,0,0,11,6.6,+2,Malik Beasley
2019-12-31,23-035,DEN,AWAY,HOU,L (-26),0,19:36,3,5,.600,2,4,.500,2,2,1.000,0,2,2,0,1,0,1,1,10,7.9,-25,Malik Beasley
2020-01-04,23-039,DEN,AWAY,WAS,L (-14),0,16:24,3,6,.500,2,5,.400,0,0,,0,0,0,0,1,0,0,1,8,5.6,-6,Malik Beasley
2020-01-08,23-043,DEN,AWAY,DAL,W (+1),0,26:07,4,10,.400,2,4,.500,0,0,,0,5,5,2,0,1,2,1,10,5.8,+7,Malik Beasley
2020-01-11,23-046,DEN,HOME,CLE,L (-8),0,12:57,0,5,.000,0,4,.000,2,2,1.000,0,4,4,0,0,0,1,0,2,-1.3,-4,Malik Beasley
2020-01-15,23-050,DEN,HOME,CHO,W (+14),0,6:34,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,2.4,0,Malik Beasley
2020-01-16,23-051,DEN,AWAY,GSW,W (+3),0,39:13,9,16,.563,5,10,.500,4,4,1.000,0,4,4,1,3,0,0,5,27,22.3,+23,Malik Beasley
2020-01-19,23-054,DEN,HOME,IND,L (-8),0,13:38,1,7,.143,0,3,.000,0,0,,1,1,2,1,1,0,1,1,2,-1.2,-6,Malik Beasley
2020-01-20,23-055,DEN,AWAY,MIN,W (+7),0,23:58,4,10,.400,1,2,.500,2,2,1.000,0,3,3,0,3,0,1,1,11,8.1,+9,Malik Beasley
2020-01-22,23-057,DEN,AWAY,HOU,L (-16),0,30:32,4,10,.400,1,5,.200,3,3,1.000,0,0,0,1,0,0,1,4,12,4.7,-14,Malik Beasley
2020-01-24,23-059,DEN,AWAY,NOP,W (+7),0,17:53,3,8,.375,1,4,.250,3,3,1.000,1,1,2,3,3,1,1,1,10,11.0,+1,Malik Beasley
2020-01-26,23-061,DEN,HOME,HOU,W (+7),0,25:37,3,11,.273,0,4,.000,4,4,1.000,0,3,3,1,3,0,2,1,10,5.7,-1,Malik Beasley
2020-01-28,23-063,DEN,AWAY,MEM,L (-8),0,17:16,1,5,.200,0,3,.000,2,2,1.000,0,3,3,1,1,0,3,1,4,0.1,-5,Malik Beasley
2020-01-30,23-065,DEN,HOME,UTA,W (+6),0,23:53,2,8,.250,1,4,.250,2,2,1.000,1,2,3,4,0,0,0,1,7,5.9,+12,Malik Beasley
2020-01-31,23-066,DEN,AWAY,MIL,W (+12),0,26:45,5,12,.417,5,10,.500,1,1,1.000,0,4,4,1,2,0,1,2,16,11.7,+25,Malik Beasley
2020-02-02,23-068,DEN,AWAY,DET,L (-5),0,24:01,5,9,.556,2,5,.400,0,0,,0,1,1,4,1,0,0,0,12,11.8,-3,Malik Beasley
2020-02-04,23-070,DEN,HOME,POR,W (+28),0,23:51,5,15,.333,3,10,.300,1,4,.250,0,4,4,2,0,0,1,2,14,5.1,+8,Malik Beasley
2020-02-08,23-074,MIN,HOME,LAC,W (+27),1,28:51,8,19,.421,7,13,.538,0,0,,2,8,10,4,1,0,1,4,23,17.9,+28,Malik Beasley
2020-02-10,23-076,MIN,AWAY,TOR,L (-11),1,31:32,5,12,.417,2,6,.333,3,4,.750,0,4,4,2,1,0,4,3,15,6.6,-5,Malik Beasley
2020-02-12,23-078,MIN,HOME,CHO,L (-7),1,37:42,11,25,.440,5,14,.357,1,1,1.000,2,4,6,3,0,0,2,1,28,17.2,+1,Malik Beasley
2020-02-21,23-087,MIN,HOME,BOS,L (-10),1,35:45,10,18,.556,4,8,.500,3,3,1.000,0,4,4,1,0,1,2,4,27,17.4,+1,Malik Beasley
2020-02-23,23-089,MIN,AWAY,DEN,L (-12),1,34:06,6,13,.462,2,5,.400,3,4,.750,2,6,8,1,1,1,1,1,17,14.1,-11,Malik Beasley
2020-02-24,23-090,MIN,AWAY,DAL,L (-16),1,35:22,8,20,.400,5,12,.417,0,2,.000,0,4,4,1,0,0,1,4,21,8.7,-30,Malik Beasley
2020-02-26,23-092,MIN,AWAY,MIA,W (+3),1,32:49,7,14,.500,3,9,.333,4,5,.800,0,6,6,5,2,0,1,3,21,18.7,+11,Malik Beasley
2020-02-28,23-094,MIN,AWAY,ORL,L (-11),1,34:26,7,18,.389,3,9,.333,0,0,,0,4,4,1,1,0,0,1,17,9.7,-9,Malik Beasley
2020-03-01,23-096,MIN,HOME,DAL,L (-20),1,29:45,5,15,.333,4,9,.444,0,0,,0,3,3,1,1,0,1,1,14,6.7,-21,Malik Beasley
2020-03-03,23-098,MIN,AWAY,NOP,W (+5),1,35:36,11,13,.846,4,5,.800,2,2,1.000,0,3,3,4,0,0,1,3,28,24.8,+12,Malik Beasley
2020-03-04,23-099,MIN,HOME,CHI,W (+7),1,33:59,8,14,.571,4,8,.500,4,4,1.000,1,2,3,2,0,0,3,1,24,16.7,-5,Malik Beasley
2020-03-06,23-101,MIN,HOME,ORL,L (-14),1,28:13,14,21,.667,1,5,.200,0,0,,0,4,4,1,0,0,1,0,29,20.8,-20,Malik Beasley
2020-03-08,23-103,MIN,HOME,NOP,L (-13),1,32:16,8,20,.400,4,7,.571,1,3,.333,2,7,9,0,1,0,1,0,21,12.9,-26,Malik Beasley
2020-03-10,23-105,MIN,AWAY,HOU,L (-6),1,32:37,2,11,.182,1,5,.200,0,0,,0,3,3,1,1,0,2,1,5,-1.7,-3,Malik Beasley
2016-11-05,19-345,DEN,AWAY,DET,L (-17),0,5:11,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+7,Malik Beasley
2016-11-06,19-346,DEN,AWAY,BOS,W (+16),0,2:26,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-5,Malik Beasley
2016-11-10,19-350,DEN,HOME,GSW,L (-24),0,14:47,5,10,.500,2,5,.400,0,0,,0,2,2,1,0,0,0,0,12,8.3,+5,Malik Beasley
2016-11-13,19-353,DEN,AWAY,POR,L (-7),0,5:57,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,+8,Malik Beasley
2016-11-16,19-356,DEN,HOME,PHO,W (+16),0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,Malik Beasley
2016-11-20,19-360,DEN,HOME,UTA,W (+14),0,1:32,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,0.2,-4,Malik Beasley
2016-11-23,19-363,DEN,AWAY,UTA,L (-25),0,12:00,1,5,.200,0,2,.000,3,4,.750,0,1,1,1,1,0,0,2,5,2.7,-2,Malik Beasley
2016-11-27,20-001,DEN,AWAY,PHO,W (+6),0,6:26,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,0,0,3,0.2,+13,Malik Beasley
2016-12-02,20-006,DEN,HOME,HOU,L (-18),0,4:25,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,0,0,5,4.7,+4,Malik Beasley
2017-01-03,20-038,DEN,HOME,SAC,L (-7),0,1:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+5,Malik Beasley
2017-01-12,20-047,DEN,HOME,IND,W (+28),0,3:18,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,4.1,0,Malik Beasley
2017-01-21,20-056,DEN,HOME,LAC,W (+25),0,2:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,-0.1,0,Malik Beasley
2017-02-01,20-067,DEN,HOME,MEM,L (-20),0,6:20,2,2,1.000,1,1,1.000,2,2,1.000,0,0,0,1,1,0,1,0,7,7.1,0,Malik Beasley
2017-02-04,20-070,DEN,AWAY,SAS,L (-24),0,8:55,2,3,.667,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,5,3.4,0,Malik Beasley
2017-02-06,20-072,DEN,HOME,DAL,W (+23),0,1:37,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,0,1,4,3.7,+1,Malik Beasley
2017-02-08,20-074,DEN,AWAY,ATL,L (-11),0,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Malik Beasley
2017-02-11,20-077,DEN,AWAY,CLE,L (-16),0,2:37,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,Malik Beasley
2017-02-13,20-079,DEN,HOME,GSW,W (+22),0,7:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-2.7,-2,Malik Beasley
2017-03-13,20-107,DEN,HOME,LAL,W (+28),0,2:38,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,0,2,1.3,0,Malik Beasley
2017-04-07,20-132,DEN,HOME,NOP,W (+16),0,2:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-8,Malik Beasley
2017-04-11,20-136,DEN,AWAY,DAL,W (+18),0,31:57,6,12,.500,2,7,.286,2,2,1.000,2,3,5,2,2,0,0,2,16,14.9,+18,Malik Beasley
2017-04-12,20-137,DEN,AWAY,OKC,W (+6),1,40:02,8,17,.471,1,4,.250,0,0,,1,2,3,3,1,0,2,2,17,9.9,+19,Malik Beasley
2018-10-17,21-325,DEN,AWAY,LAC,W (+9),0,11:45,2,6,.333,1,3,.333,0,0,,0,1,1,1,0,0,1,1,5,1.2,+1,Malik Beasley
2018-10-20,21-328,DEN,HOME,PHO,W (+28),0,7:34,1,2,.500,0,1,.000,0,0,,0,2,2,0,1,0,0,3,2,1.4,-5,Malik Beasley
2018-10-21,21-329,DEN,HOME,GSW,W (+2),0,11:14,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,1,1,2,1.6,-6,Malik Beasley
2018-10-23,21-331,DEN,HOME,SAC,W (+14),0,19:29,5,10,.500,1,3,.333,0,0,,0,1,1,0,0,1,0,1,11,6.6,-13,Malik Beasley
2018-10-25,21-333,DEN,AWAY,LAL,L (-7),0,10:32,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,4,4.0,+6,Malik Beasley
2018-10-29,21-337,DEN,HOME,NOP,W (+5),0,31:27,5,9,.556,2,6,.333,0,0,,0,6,6,2,0,0,1,1,12,9.5,+10,Malik Beasley
2018-10-31,21-339,DEN,AWAY,CHI,W (+1),0,30:31,3,9,.333,0,3,.000,0,0,,1,4,5,0,1,0,2,1,6,1.4,+2,Malik Beasley
2018-11-01,21-340,DEN,AWAY,CLE,W (+19),0,23:58,2,8,.250,1,4,.250,0,0,,0,0,0,4,0,0,1,2,5,1.2,+9,Malik Beasley
2018-11-03,21-342,DEN,HOME,UTA,W (+15),0,18:34,4,8,.500,3,5,.600,1,1,1.000,0,0,0,2,0,0,1,3,12,7.2,+20,Malik Beasley
2018-11-05,21-344,DEN,HOME,BOS,W (+8),0,21:53,2,9,.222,1,5,.200,0,0,,0,3,3,0,0,0,2,2,5,-2.4,+13,Malik Beasley
2018-11-07,21-346,DEN,AWAY,MEM,L (-2),0,6:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4,Malik Beasley
2018-11-09,21-348,DEN,HOME,BRK,L (-2),0,22:05,3,5,.600,2,3,.667,0,0,,0,3,3,1,0,0,0,2,8,6.5,+1,Malik Beasley
2018-11-11,21-350,DEN,HOME,MIL,L (-7),0,21:54,4,8,.500,2,4,.500,0,0,,0,4,4,0,1,0,1,2,10,6.4,-2,Malik Beasley
2018-11-13,21-352,DEN,HOME,HOU,L (-10),0,6:29,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,0,0,1.0,-6,Malik Beasley
2018-11-15,21-354,DEN,HOME,ATL,W (+45),0,23:36,6,14,.429,1,5,.200,2,3,.667,1,2,3,3,1,0,1,2,15,9.8,+6,Malik Beasley
2018-11-17,21-356,DEN,AWAY,NOP,L (-10),0,13:52,2,5,.400,0,3,.000,0,0,,0,2,2,0,0,0,1,0,4,0.9,-3,Malik Beasley
2018-11-19,21-358,DEN,AWAY,MIL,L (-6),0,22:26,4,7,.571,4,7,.571,0,0,,0,4,4,2,1,0,0,0,12,12.3,-1,Malik Beasley
2018-11-21,21-360,DEN,AWAY,MIN,W (+2),0,14:15,4,5,.800,3,3,1.000,0,0,,0,2,2,0,0,0,0,3,11,8.5,-11,Malik Beasley
2018-11-23,21-362,DEN,HOME,ORL,W (+25),0,15:19,2,3,.667,1,2,.500,0,0,,1,0,1,1,1,0,0,1,5,5.7,+13,Malik Beasley
2018-11-24,21-363,DEN,AWAY,OKC,W (+7),0,12:43,2,6,.333,1,3,.333,0,0,,0,3,3,0,0,0,0,2,5,1.7,+8,Malik Beasley
2018-11-27,22-001,DEN,HOME,LAL,W (+32),0,35:52,8,14,.571,2,6,.333,2,2,1.000,0,4,4,0,2,0,0,0,20,16.6,+21,Malik Beasley
2018-11-30,22-004,DEN,AWAY,POR,W (+1),0,13:15,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,2.6,-6,Malik Beasley
2018-12-03,22-007,DEN,AWAY,TOR,W (+3),0,26:35,6,8,.750,3,3,1.000,0,0,,1,1,2,1,0,0,0,0,15,13.5,+11,Malik Beasley
2018-12-05,22-009,DEN,AWAY,ORL,W (+6),0,30:54,3,6,.500,2,3,.667,0,0,,0,4,4,1,0,0,1,3,8,4.7,+10,Malik Beasley
2018-12-07,22-011,DEN,AWAY,CHO,L (-6),0,32:47,5,13,.385,4,10,.400,2,2,1.000,2,5,7,2,0,0,1,2,16,11.4,-4,Malik Beasley
2018-12-08,22-012,DEN,AWAY,ATL,L (-8),0,23:05,7,16,.438,3,9,.333,2,2,1.000,0,1,1,0,2,0,0,0,19,12.9,-10,Malik Beasley
2018-12-10,22-014,DEN,HOME,MEM,W (+6),0,15:25,3,7,.429,1,3,.333,0,0,,0,0,0,3,0,0,0,1,7,5.0,+2,Malik Beasley
2018-12-14,22-018,DEN,HOME,OKC,W (+11),0,15:39,0,5,.000,0,4,.000,0,0,,1,1,2,1,1,0,2,1,0,-3.2,0,Malik Beasley
2018-12-16,22-020,DEN,HOME,TOR,W (+9),0,15:19,2,5,.400,1,2,.500,1,2,.500,2,3,5,1,0,1,0,1,6,6.2,+6,Malik Beasley
2018-12-18,22-022,DEN,HOME,DAL,W (+8),0,26:30,5,8,.625,2,4,.500,0,0,,1,0,1,4,1,0,1,5,12,9.9,+12,Malik Beasley
2018-12-22,22-026,DEN,AWAY,LAC,L (-21),0,28:09,5,14,.357,0,3,.000,1,1,1.000,2,2,4,1,5,0,0,3,11,9.7,-8,Malik Beasley
2018-12-26,22-030,DEN,AWAY,SAS,L (-8),0,30:18,8,19,.421,4,12,.333,2,2,1.000,1,6,7,3,1,0,0,2,22,16.7,-7,Malik Beasley
2018-12-28,22-032,DEN,HOME,SAS,W (+3),0,25:44,7,11,.636,2,3,.667,5,5,1.000,0,3,3,1,0,0,0,0,21,17.7,+8,Malik Beasley
2018-12-29,22-033,DEN,AWAY,PHO,W (+4),0,28:42,5,12,.417,5,9,.556,0,0,,1,0,1,2,2,0,2,2,15,9.9,-12,Malik Beasley
2019-01-01,22-036,DEN,HOME,NYK,W (+7),0,29:56,8,15,.533,5,9,.556,2,2,1.000,0,6,6,5,1,0,0,0,23,22.0,+11,Malik Beasley
2019-01-03,22-038,DEN,AWAY,SAC,W (+4),0,25:02,3,9,.333,1,4,.250,0,0,,0,3,3,0,0,1,0,3,7,2.3,-3,Malik Beasley
2019-01-05,22-040,DEN,HOME,CHO,W (+13),0,22:29,2,4,.500,0,2,.000,0,0,,0,2,2,0,0,1,0,3,4,2.1,-1,Malik Beasley
2019-01-07,22-042,DEN,AWAY,HOU,L (-12),0,26:17,6,11,.545,2,7,.286,0,0,,0,3,3,1,1,0,0,2,14,10.5,+2,Malik Beasley
2019-01-08,22-043,DEN,AWAY,MIA,W (+4),1,36:16,4,9,.444,1,6,.167,0,0,,0,1,1,2,0,0,3,4,9,1.4,+6,Malik Beasley
2019-01-10,22-045,DEN,HOME,LAC,W (+21),1,31:02,6,10,.600,3,5,.600,0,0,,1,0,1,5,2,1,0,0,15,17.3,+13,Malik Beasley
2019-01-12,22-047,DEN,AWAY,PHO,L (-9),1,40:04,8,14,.571,5,9,.556,0,0,,0,1,1,1,0,0,2,2,21,12.6,+2,Malik Beasley
2019-01-13,22-048,DEN,HOME,POR,W (+3),1,37:19,5,9,.556,3,5,.600,0,0,,0,1,1,3,2,0,1,2,13,11.3,+9,Malik Beasley
2019-01-15,22-050,DEN,HOME,GSW,L (-31),1,32:44,8,14,.571,6,10,.600,0,0,,0,1,1,0,0,0,0,0,22,15.7,-15,Malik Beasley
2019-01-17,22-052,DEN,HOME,CHI,W (+30),1,33:54,5,7,.714,2,3,.667,1,1,1.000,2,7,9,1,0,0,1,1,13,12.9,+26,Malik Beasley
2019-01-19,22-054,DEN,HOME,CLE,W (+22),1,30:55,5,8,.625,3,6,.500,0,0,,2,2,4,1,0,0,1,2,13,10.3,+10,Malik Beasley
2019-01-23,22-058,DEN,AWAY,UTA,L (-6),0,7:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+9,Malik Beasley
2019-01-25,22-060,DEN,HOME,PHO,W (+37),0,22:54,6,11,.545,2,6,.333,5,5,1.000,0,3,3,0,1,0,0,2,19,14.8,+13,Malik Beasley
2019-01-26,22-061,DEN,HOME,PHI,W (+16),0,20:18,6,12,.500,2,5,.400,0,0,,0,1,1,1,1,0,1,2,14,8.2,+2,Malik Beasley
2019-01-28,22-063,DEN,AWAY,MEM,W (+3),0,24:23,7,13,.538,3,9,.333,1,2,.500,0,3,3,3,1,0,0,1,18,14.9,+14,Malik Beasley
2019-01-30,22-065,DEN,AWAY,NOP,W (+6),0,29:27,9,14,.643,4,6,.667,0,1,.000,0,2,2,1,1,0,0,1,22,17.3,0,Malik Beasley
2019-02-01,22-067,DEN,HOME,HOU,W (+14),1,41:26,12,17,.706,5,9,.556,6,7,.857,0,2,2,3,1,0,2,3,35,28.0,+19,Malik Beasley
2019-02-02,22-068,DEN,AWAY,MIN,W (+1),1,28:42,9,14,.643,4,7,.571,0,0,,0,2,2,0,2,0,1,0,22,17.4,-10,Malik Beasley
2019-02-04,22-070,DEN,AWAY,DET,L (-26),1,30:34,6,13,.462,3,5,.600,1,1,1.000,2,1,3,1,1,0,0,3,16,11.5,-21,Malik Beasley
2019-02-06,22-072,DEN,AWAY,BRK,L (-5),1,31:50,7,15,.467,3,8,.375,0,0,,0,2,2,1,1,0,1,2,17,9.8,+4,Malik Beasley
2019-02-08,22-074,DEN,AWAY,PHI,L (-7),1,35:20,5,11,.455,2,6,.333,0,0,,0,3,3,0,0,0,2,2,12,4.4,0,Malik Beasley
2019-02-11,22-077,DEN,HOME,MIA,W (+16),1,27:35,8,13,.615,5,7,.714,2,2,1.000,0,0,0,2,0,0,0,4,23,16.9,+3,Malik Beasley
2019-02-13,22-079,DEN,HOME,SAC,W (+2),1,30:43,8,18,.444,2,7,.286,3,3,1.000,0,4,4,0,1,0,0,0,21,13.8,-4,Malik Beasley
2019-02-22,22-088,DEN,AWAY,DAL,W (+10),1,26:49,4,10,.400,3,7,.429,2,2,1.000,1,2,3,4,1,0,3,2,13,8.9,+5,Malik Beasley
2019-02-24,22-090,DEN,HOME,LAC,W (+27),1,24:31,3,4,.750,2,3,.667,0,0,,2,0,2,1,0,0,0,3,8,7.3,+19,Malik Beasley
2019-02-26,22-092,DEN,HOME,OKC,W (+9),1,25:22,3,6,.500,2,3,.667,0,0,,1,3,4,2,1,0,1,4,8,6.4,+5,Malik Beasley
2019-02-28,22-094,DEN,HOME,UTA,L (-7),1,24:24,3,6,.500,0,2,.000,0,0,,1,3,4,1,0,2,0,0,6,6.7,-4,Malik Beasley
2019-03-02,22-096,DEN,HOME,NOP,L (-8),0,22:08,3,9,.333,2,4,.500,0,0,,1,2,3,1,1,0,0,1,8,5.5,-11,Malik Beasley
2019-03-04,22-098,DEN,AWAY,SAS,L (-1),0,22:06,6,11,.545,2,6,.333,1,1,1.000,0,3,3,3,1,0,0,2,15,12.9,-11,Malik Beasley
2019-03-06,22-100,DEN,AWAY,LAL,W (+16),0,17:29,3,10,.300,2,7,.286,0,0,,1,4,5,1,0,0,1,0,8,3.8,-8,Malik Beasley
2019-03-08,22-102,DEN,AWAY,GSW,L (-17),0,26:47,5,14,.357,5,13,.385,2,2,1.000,0,1,1,0,0,0,1,3,17,7.3,-6,Malik Beasley
2019-03-12,22-106,DEN,HOME,MIN,W (+26),0,20:07,2,4,.500,1,3,.333,0,0,,0,3,3,4,0,0,1,1,5,5.3,+8,Malik Beasley
2019-03-14,22-108,DEN,HOME,DAL,W (+1),0,21:03,5,12,.417,2,7,.286,0,0,,0,1,1,0,0,0,1,2,12,4.1,+12,Malik Beasley
2019-03-16,22-110,DEN,HOME,IND,W (+2),0,19:16,4,6,.667,3,5,.600,0,0,,1,0,1,1,1,0,1,0,11,9.8,-7,Malik Beasley
2019-03-18,22-112,DEN,AWAY,BOS,W (+9),0,18:34,3,11,.273,1,7,.143,0,0,,0,1,1,1,2,0,0,1,7,3.1,+4,Malik Beasley
2019-03-21,22-115,DEN,AWAY,WAS,W (+5),0,20:45,4,9,.444,2,5,.400,0,0,,0,3,3,1,1,0,0,1,10,7.5,+21,Malik Beasley
2019-03-22,22-116,DEN,AWAY,NYK,W (+18),0,22:13,2,10,.200,2,8,.250,2,2,1.000,1,4,5,1,0,1,2,3,8,1.9,+4,Malik Beasley
2019-03-24,22-118,DEN,AWAY,IND,L (-36),0,13:37,1,6,.167,0,3,.000,2,2,1.000,0,1,1,0,1,0,1,0,4,0.5,-13,Malik Beasley
2019-03-28,22-122,DEN,AWAY,HOU,L (-27),0,23:21,1,9,.111,0,7,.000,2,2,1.000,0,2,2,0,1,0,3,1,4,-3.7,-28,Malik Beasley
2019-03-29,22-123,DEN,AWAY,OKC,W (+10),0,13:03,3,8,.375,1,4,.250,0,0,,1,2,3,0,0,0,0,0,7,3.9,+2,Malik Beasley
2019-03-31,22-125,DEN,HOME,WAS,L (-5),0,18:41,2,10,.200,1,5,.200,1,2,.500,1,4,5,1,0,0,0,1,6,1.6,-9,Malik Beasley
2019-04-02,22-127,DEN,AWAY,GSW,L (-14),0,13:29,1,3,.333,1,2,.500,0,0,,0,1,1,0,1,0,2,0,3,0.6,-16,Malik Beasley
2019-04-03,22-128,DEN,HOME,SAS,W (+28),0,24:39,7,14,.500,3,8,.375,2,3,.667,0,1,1,2,1,0,2,0,19,12.3,+20,Malik Beasley
