SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
1996-97,30.0,WSB,NBA,PG,82.0,81.0,2997.0,6.2,13.3,0.466,0.2,0.9,0.169,6.0,12.3,0.488,4.4,6.0,0.738,1.1,2.9,4.0,8.7,1.7,0.2,3.2,2.0,16.9,Rod Strickland
1997-98,31.0,WAS,NBA,PG,76.0,76.0,3020.0,5.8,13.5,0.434,0.1,0.6,0.25,5.7,12.9,0.442,4.3,5.9,0.726,1.3,3.5,4.8,9.5,1.5,0.3,3.2,2.2,16.1,Rod Strickland
1998-99,32.0,WAS,NBA,PG,44.0,43.0,1632.0,5.5,13.3,0.416,0.3,0.9,0.286,5.3,12.4,0.426,3.9,5.2,0.746,1.2,3.4,4.7,9.6,1.7,0.1,3.1,2.0,15.2,Rod Strickland
1999-00,33.0,WAS,NBA,PG,69.0,67.0,2188.0,5.4,12.5,0.429,0.0,0.3,0.048,5.4,12.2,0.44,3.5,5.0,0.702,1.2,3.1,4.3,8.5,1.5,0.3,3.1,2.4,14.3,Rod Strickland
2000-01,34.0,TOT,NBA,PG,54.0,28.0,1371.0,4.8,11.3,0.424,0.1,0.4,0.235,4.7,10.8,0.432,3.4,4.5,0.751,0.9,2.7,3.7,8.0,1.4,0.1,2.8,2.0,13.1,Rod Strickland
2000-01,34.0,WAS,NBA,PG,33.0,28.0,1020.0,5.0,11.7,0.426,0.1,0.6,0.25,4.8,11.1,0.435,4.1,5.2,0.782,0.9,2.8,3.7,8.2,1.5,0.1,2.9,1.9,14.2,Rod Strickland
2000-01,34.0,POR,NBA,PG,21.0,0.0,351.0,4.2,10.1,0.418,0.0,0.1,0.0,4.2,9.9,0.423,1.5,2.7,0.577,1.1,2.5,3.6,7.4,1.0,0.1,2.5,2.2,9.9,Rod Strickland
2001-02,35.0,MIA,NBA,PG,76.0,64.0,2294.0,5.0,11.2,0.443,0.1,0.4,0.308,4.8,10.8,0.448,2.4,3.2,0.766,0.8,2.9,3.6,7.3,1.3,0.2,2.5,1.8,12.5,Rod Strickland
2002-03,36.0,MIN,NBA,PG,47.0,8.0,956.0,4.5,10.5,0.432,0.0,0.4,0.091,4.5,10.1,0.446,3.0,4.0,0.738,0.8,2.8,3.6,8.1,1.7,0.2,2.9,2.1,12.1,Rod Strickland
2003-04,37.0,TOT,NBA,PG,61.0,10.0,1197.0,4.5,10.6,0.425,0.3,1.1,0.278,4.2,9.5,0.442,2.2,2.9,0.735,1.0,3.6,4.7,7.3,1.1,0.3,2.6,2.3,11.5,Rod Strickland
2003-04,37.0,ORL,NBA,PG,46.0,9.0,915.0,4.8,10.6,0.454,0.4,1.3,0.303,4.4,9.3,0.475,2.2,3.0,0.75,0.9,3.7,4.6,7.3,1.1,0.3,2.6,2.3,12.2,Rod Strickland
2003-04,37.0,TOR,NBA,PG,15.0,1.0,282.0,3.6,10.7,0.333,0.0,0.4,0.0,3.6,10.3,0.346,1.9,2.8,0.682,1.3,3.4,4.7,7.5,1.0,0.5,2.3,2.2,9.1,Rod Strickland
2004-05,38.0,HOU,NBA,PG,16.0,2.0,196.0,1.7,7.9,0.209,0.2,0.4,0.5,1.5,7.5,0.195,1.7,1.8,0.9,0.6,4.4,5.0,7.2,0.6,0.4,2.9,2.8,5.1,Rod Strickland
